timestamp,power
1612850400,74
1612851300,80
1612852200,57
1612853100,65
1612854000,75
1612854900,77
1612855800,67
1612856700,59
1612857600,59
1612858500,71
1612859400,49
1612860300,173
1612861200,91
1612862100,95
1612863000,74
1612863900,99
1612864800,51
1612865700,85
1612866600,109
1612867500,590
1612868400,569
1612869300,134
1612870200,88
1612871100,115
1612872000,52
1612872900,83
1612873800,55
1612874700,71
1612875600,61
1612876500,148
1612877400,108
1612878300,104
1612879200,116
1612880100,115
1612881000,96
1612881900,144
1612882800,143
1612883700,359
1612884600,477
1612885500,254
1612886400,210
1612887300,188
1612888200,188
1612889100,140
1612890000,140
1612890900,123
1612891800,142
1612892700,143
1612893600,157
1612894500,184
1612895400,137
1612896300,192
1612897200,166
1612898100,215
1612899000,184
1612899900,264
1612900800,272
1612901700,213
1612902600,247
1612903500,212
1612904400,186
1612905300,140
1612906200,142
1612907100,173
1612908000,147
1612908900,121
1612909800,98
1612910700,101
1612911600,75
1612912500,96
1612913400,88
1612914300,114
1612915200,81
1612916100,98
1612917000,67
1612917900,98
1612918800,96
1612919700,121
1612920600,72
1612921500,95
1612922400,84
1612923300,111
1612924200,71
1612925100,122
1612926000,88
1612926900,119
1612927800,69
1612928700,110
1612929600,88
1612930500,99
1612931400,143
1612932300,143
1612933200,82
1612934100,89
1612935000,192
1612935900,61
1612936800,130
1612937700,54
1612938600,78
1612939500,43
1612940400,73
1612941300,43
1612942200,67
1612943100,155
1612944000,99
1612944900,68
1612945800,95
1612946700,83
1612947600,59
1612948500,100
1612949400,70
1612950300,114
1612951200,88
1612952100,72
1612953000,128
1612953900,96
1612954800,81
1612955700,63
1612956600,80
1612957500,54
1612958400,106
1612959300,73
1612960200,87
1612961100,66
1612962000,68
1612962900,95
1612963800,46
1612964700,162
1612965600,83
1612966500,104
1612967400,136
1612968300,139
1612969200,96
1612970100,122
1612971000,135
1612971900,117
1612972800,135
1612973700,113
1612974600,399
1612975500,272
1612976400,143
1612977300,164
1612978200,126
1612979100,164
1612980000,126
1612980900,134
1612981800,137
1612982700,175
1612983600,155
1612984500,208
1612985400,171
1612986300,205
1612987200,265
1612988100,246
1612989000,195
1612989900,197
1612990800,144
1612991700,129
1612992600,160
1612993500,90
1612994400,110
1612995300,86
1612996200,117
1612997100,98
1612998000,96
1612998900,75
1612999800,86
1613000700,110
1613001600,76
1613002500,96
1613003400,94
1613004300,97
1613005200,95
1613006100,106
1613007000,85
1613007900,75
1613008800,108
1613009700,69
1613010600,114
1613011500,88
1613012400,113
1613013300,75
1613014200,82
1613015100,101
1613016000,90
1613016900,98
1613017800,131
1613018700,148
1613019600,74
1613020500,94
1613021400,176
1613022300,71
1613023200,49
1613024100,88
1613025000,90
1613025900,55
1613026800,86
1613027700,45
1613028600,69
1613029500,72
1613030400,78
1613031300,90
1613032200,41
1613033100,215
1613034000,63
1613034900,65
1613035800,99
1613036700,97
1613037600,77
1613038500,50
1613039400,83
1613040300,109
1613041200,106
1613042100,102
1613043000,66
1613043900,96
1613044800,150
1613045700,126
1613046600,144
1613047500,131
1613048400,128
1613049300,128
1613050200,167
1613051100,156
1613052000,172
1613052900,220
1613053800,151
1613054700,155
1613055600,135
1613056500,290
1613057400,393
1613058300,320
1613059200,420
1613060100,249
1613061000,249
1613061900,160
1613062800,186
1613063700,175
1613064600,171
1613065500,155
1613066400,148
1613067300,144
1613068200,161
1613069100,129
1613070000,184
1613070900,172
1613071800,191
1613072700,144
1613073600,128
1613074500,139
1613075400,127
1613076300,169
1613077200,110
1613078100,112
1613079000,135
1613079900,96
1613080800,63
1613081700,59
1613082600,89
1613083500,73
1613084400,85
1613085300,60
1613086200,70
1613087100,51
1613088000,90
1613088900,43
1613089800,81
1613090700,65
1613091600,79
1613092500,51
1613093400,71
1613094300,50
1613095200,83
1613096100,64
1613097000,82
1613097900,42
1613098800,78
1613099700,53
1613100600,78
1613101500,61
1613102400,80
1613103300,62
1613104200,99
1613105100,76
1613106000,63
1613106900,105
1613107800,233
1613108700,96
1613109600,66
1613110500,64
1613111400,58
1613112300,75
1613113200,65
1613114100,85
1613115000,56
1613115900,71
1613116800,53
1613117700,76
1613118600,40
1613119500,88
1613120400,163
1613121300,120
1613122200,74
1613123100,74
1613124000,42
1613124900,88
1613125800,72
1613126700,66
1613127600,92
1613128500,58
1613129400,149
1613130300,128
1613131200,140
1613132100,112
1613133000,250
1613133900,262
1613134800,168
1613135700,129
1613136600,122
1613137500,144
1613138400,178
1613139300,124
1613140200,135
1613141100,139
1613142000,138
1613142900,131
1613143800,185
1613144700,144
1613145600,147
1613146500,164
1613147400,141
1613148300,185
1613149200,322
1613150100,157
1613151000,151
1613151900,174
1613152800,118
1613153700,135
1613154600,139
1613155500,118
1613156400,228
1613157300,191
1613158200,199
1613159100,207
1613160000,134
1613160900,183
1613161800,143
1613162700,170
1613163600,204
1613164500,153
1613165400,135
1613166300,130
