timestamp,price_energy_levies_positive,price_energy_levies_negative
1618273800,0.18,0.18
1618274700,0.18,0.18
1618275600,0.18,0.18
1618276500,0.18,0.18
1618277400,0.18,0.18
1618278300,0.18,0.18
1618279200,0.18,0.18
1618280100,0.18,0.18
1618281000,0.18,0.18
1618281900,0.18,0.18
1618282800,0.18,0.18
1618283700,0.18,0.18
1618284600,0.18,0.18
1618285500,0.18,0.18
1618286400,0.18,0.18
1618287300,0.18,0.18
1618288200,0.18,0.18
1618289100,0.18,0.18
1618290000,0.18,0.18
1618290900,0.18,0.18
1618291800,0.18,0.18
1618292700,0.18,0.18
1618293600,0.18,0.18
1618294500,0.18,0.18
1618295400,0.18,0.18
1618296300,0.18,0.18
1618297200,0.18,0.18
1618298100,0.18,0.18
1618299000,0.18,0.18
1618299900,0.18,0.18
1618300800,0.18,0.18
1618301700,0.18,0.18
1618302600,0.18,0.18
1618303500,0.18,0.18
1618304400,0.18,0.18
1618305300,0.18,0.18
1618306200,0.18,0.18
1618307100,0.18,0.18
1618308000,0.18,0.18
1618308900,0.18,0.18
1618309800,0.18,0.18
1618310700,0.18,0.18
1618311600,0.18,0.18
1618312500,0.18,0.18
1618313400,0.18,0.18
1618314300,0.18,0.18
1618315200,0.18,0.18
1618316100,0.18,0.18
1618317000,0.18,0.18
1618317900,0.18,0.18
1618318800,0.18,0.18
1618319700,0.18,0.18
1618320600,0.18,0.18
1618321500,0.18,0.18
1618322400,0.18,0.18
1618323300,0.18,0.18
1618324200,0.18,0.18
1618325100,0.18,0.18
1618326000,0.18,0.18
1618326900,0.18,0.18
1618327800,0.18,0.18
1618328700,0.18,0.18
1618329600,0.18,0.18
1618330500,0.18,0.18
1618331400,0.18,0.18
1618332300,0.18,0.18
1618333200,0.18,0.18
1618334100,0.18,0.18
1618335000,0.18,0.18
1618335900,0.18,0.18
1618336800,0.18,0.18
1618337700,0.18,0.18
1618338600,0.18,0.18
1618339500,0.18,0.18
1618340400,0.18,0.18
1618341300,0.18,0.18
1618342200,0.18,0.18
1618343100,0.18,0.18
1618344000,0.18,0.18
1618344900,0.18,0.18
1618345800,0.18,0.18
1618346700,0.18,0.18
1618347600,0.18,0.18
1618348500,0.18,0.18
1618349400,0.18,0.18
1618350300,0.18,0.18
1618351200,0.18,0.18
1618352100,0.18,0.18
1618353000,0.18,0.18
1618353900,0.18,0.18
1618354800,0.18,0.18
1618355700,0.18,0.18
